policynumber,age,ncdlevel26
1,25,3
2,25,2
3,53,1
4,51,2
5,23,1
6,55,0
7,21,2
8,23,3
9,54,1
10,24,1
11,25,1
12,22,0
13,22,1
14,53,0
15,51,1
16,54,4
17,51,1
18,22,2
19,55,3
20,22,3
21,25,3
22,50,2
23,23,2
24,21,3
25,25,1
26,51,1
27,51,4
28,20,2
29,25,2
30,51,1
31,25,2
32,23,3
33,23,3
34,23,3
35,20,3
36,50,4
37,20,1
38,50,0
39,24,2
40,20,2
41,50,0
42,23,1
43,54,3
44,25,0
45,24,3
46,52,0
47,22,2
48,22,1
49,20,3
50,52,1
51,23,2
52,20,2
53,54,4
54,22,1
55,22,4
56,22,3
57,24,2
58,50,2
59,22,1
60,52,4
61,21,4
62,25,3
63,23,2
64,52,1
65,50,1
66,24,2
67,22,1
68,24,1
69,23,3
70,51,4
71,51,3
72,51,2
73,22,2
74,55,1
75,52,2
76,51,0
77,53,1
78,51,2
79,22,3
80,52,0
81,22,2
82,55,4
83,23,2
84,22,3
85,52,4
86,51,4
87,53,0
88,25,3
89,50,4
90,24,2
91,22,1
92,22,2
93,25,3
94,23,2
95,52,0
96,54,4
97,52,1
98,52,1
99,55,1
100,53,2
101,21,3
102,51,1
103,20,4
104,52,0
105,23,1
106,55,0
107,22,2
108,53,0
109,52,0
110,21,1
111,52,0
112,53,0
113,22,1
114,52,4
115,24,2
116,52,2
117,22,1
118,20,4
119,23,2
120,53,1
121,22,2
122,51,0
123,52,0
124,23,4
125,53,4
126,50,0
127,23,2
128,50,4
129,24,2
130,22,0
131,53,0
132,52,4
133,21,1
134,22,2
135,51,2
136,54,0
137,54,4
138,20,1
139,24,4
140,21,1
141,51,0
142,52,2
143,55,0
144,50,1
145,54,0
146,51,1
147,23,1
148,24,3
149,50,0
150,54,4
151,23,4
152,23,1
153,51,0
154,53,0
155,23,2
156,23,2
157,20,3
158,20,1
159,51,4
160,53,0
161,24,3
162,53,0
163,55,1
164,24,2
165,22,2
166,21,2
167,53,0
168,53,4
169,21,2
170,52,3
171,53,0
172,50,0
173,22,2
174,22,4
175,51,2
176,53,1
177,21,3
178,50,2
179,20,3
180,52,3
181,52,1
182,25,0
183,53,1
184,24,4
185,21,3
186,24,1
187,54,1
188,54,1
189,22,2
190,53,1
191,24,3
192,50,3
193,55,4
194,23,3
195,21,3
196,24,1
197,52,0
198,24,1
199,55,3
200,22,2
201,51,1
202,21,2
203,25,3
204,25,3
205,21,1
206,53,2
207,54,0
208,54,4
209,22,2
210,20,2
211,50,1
212,22,2
213,21,2
214,24,3
215,54,2
216,52,0
217,21,2
218,23,1
219,20,3
220,54,2
221,52,0
222,23,2
223,54,2
224,24,1
225,20,2
226,51,0
227,52,4
228,55,0
229,52,0
230,51,1
231,21,2
232,53,0
233,24,3
234,51,0
235,23,2
236,54,4
237,52,3
238,23,3
239,20,1
240,24,3
241,20,2
242,52,3
243,54,0
244,52,4
245,22,3
246,23,3
247,23,1
248,54,0
249,52,2
250,53,1
251,52,4
252,52,4
253,23,2
254,51,4
255,51,4
256,51,0
257,54,1
258,21,1
259,53,1
260,25,1
261,21,1
262,23,2
263,21,3
264,55,0
265,21,4
266,54,4
267,55,1
268,51,3
269,24,2
270,25,4
